status_tag,Cuisine,Ingredients,image,Url
4,薄餅Tortilla披薩,salt;oil;flour;water,https://tokyo-kitchen.icook.network/uploads/recipe/cover/122311/large_a6fd642b04491edb.jpg,https://icook.tw/recipes/122311
4,影音示範義式薄脆Pizza 麵團製作,salt;oil;flour;water,https://tokyo-kitchen.icook.network/uploads/recipe/cover/94505/large_e0aa98b6ea1b09fc.jpg,https://icook.tw/recipes/94505
4,手工pizza皮DIY,salt;flour;water,https://tokyo-kitchen.icook.network/uploads/recipe/cover/41295/large_104dcd9420f1f312.jpg,https://icook.tw/recipes/41295
4,薄脆PIZZA,salt;oil;flour;water,https://tokyo-kitchen.icook.network/uploads/recipe/cover/30935/large_9e68138f8a45e68c.jpg,https://icook.tw/recipes/30935
0,蝦仁鮮菇米飯披薩,onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/30803/large_e76ce23a023db042.jpg,https://icook.tw/recipes/30803
9,桂冠火鍋料披薩,egg;water;flour;onion;salt;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/25887/large_4105a11a051a646d.jpg,https://icook.tw/recipes/25887
4,玉米燻雞披薩,water;sugar;flour;salt;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/24085/large_cb2e75299857c70e.jpg,https://icook.tw/recipes/24085
7,涼拌茄子,egg;soy sauce;sugar;onion;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/183929/large_113c11fa3e227344.jpg,https://icook.tw/recipes/183929
0,涼拌雞絲小黃瓜,onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/158199/large_48dbe6f488b859f1.jpg,https://icook.tw/recipes/158199
3,零廚藝第一次做菜就上手｜詹姆士愛女蔥雞湯,chicken;salt;pepper;onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/269534/large_6a1805e77cdec83c.jpg,https://icook.tw/recipes/269534
3,無敵蛋花湯,egg;chicken;onion;salt;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/265214/large_294c0ed7901ace8d.jpg,https://icook.tw/recipes/265214
3,蔥雞湯🐔,pepper;water;chicken;onion;salt,https://tokyo-kitchen.icook.network/uploads/recipe/cover/255708/large_3dd301c449c5e782.jpg,https://icook.tw/recipes/255708
3,感冒蔥雞湯,chicken;salt;pepper;onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/249569/large_3c03e85bf2f4bdd2.jpg,https://icook.tw/recipes/249569
